row_index,mol_id,mol_name,target,E_HOMO_eV,E_LUMO_eV,HOMO_LUMO_gap_eV,dipole_total_D,chemical_potential_eV,hardness_eV,electrophilicity_eV,electronegativity_eV,softness_inv_eV,q_mulliken_min,q_mulliken_max,q_mulliken_range,quadrupole_aniso_au,xtb_Gsolv_water_Eh,xtb_gap_eV,PIC50
46,Mol_47,6GGB-8thActive,TP53,-6.11938989910165,-2.4990988175845765,3.6202910815170735,7.1106187162730015,-4.309244358343113,1.8101455407585367,5.129307705315897,4.309244358343113,0.5524417664123034,-0.48696445085419704,0.9518920607475305,1.4388565116017276,42.22105480887671,-0.039780358975,1.834705298961,4.550000452
47,Mol_48,6GGB-9thActive,TP53,-6.7180472912793014,-3.328924257739549,3.3891230335397524,1.5313335004812476,-5.0234857745094255,1.6945615167698762,7.445999769545565,5.0234857745094255,0.5901231617168853,-0.341336474925944,0.3216056495798849,0.6629421245058289,32.62477402098272,-0.021295862795,1.696685778879,4.096910013
48,Mol_49,6N0D-Active_13th,TP53,-5.692139540540745,-2.5309646202123397,3.161174920328405,4.416606326726276,-4.111552080376542,1.5805874601642025,5.347651090402957,4.111552080376542,0.6326761569373156,-0.30547161271255163,0.16428669220276682,0.46975830491531845,61.44783709904305,-0.018551344141,1.640732700129,5.11
49,Mol_50,6N0D-Active_15th,TDP1,-5.449991129238018,-1.5373052486359324,3.912685880602086,1.6613969662763284,-3.4936481889369753,1.956342940301043,3.1194882596055495,3.4936481889369753,0.5111578238149389,-0.28823165420084873,0.16516395147235674,0.45339560567320547,32.26374291414639,-0.023195415671,2.365478620974,9.602
50,Mol_51,6N0D-Active_19th,TDP1,-5.836478543052747,-1.8392958480545463,3.997182694998201,7.975316390873828,-3.837887195553647,1.9985913474991004,3.684939931373656,3.837887195553647,0.5003524113377811,-0.3089458655315216,0.23867498517677,0.5476208507082916,189.747273037613,-0.045848924058,2.449645617575,7.959
51,Mol_52,6N0D-Active_1st,TDP1,-4.8913131069132065,-2.692294453007235,2.1990186539059717,5.441489457494243,-3.7918037799602207,1.0995093269529859,6.538269186658478,3.7918037799602207,0.909496604973101,-0.36910819273646744,0.21101179492847333,0.5801199876649408,86.0499475573255,-0.043708980826,1.075270176101,9.097
52,Mol_53,6N0D-Active_22nd,TDP1,-5.8045270770906825,-1.7721622852450063,4.032364791845676,7.644425899214938,-3.7883446811678443,2.016182395922838,3.5590915416072177,3.7883446811678443,0.49598687203212305,-0.3166142289746112,0.25617571192201893,0.5727899408966302,24.391927820636447,-0.015992702703,2.46587491768,8.091514981
53,Mol_54,6N0D-Active_23rd,TDP1,-5.9616201532506645,-2.410849620109504,3.5507705331411605,2.532284067565642,-4.186234886680085,1.7753852665705803,4.935425244434047,4.186234886680085,0.5632580256406251,-0.2988887441987256,0.20046738279257292,0.4993561269912985,49.74628052013181,-0.021954435506,2.100699127123,7.625251654
54,Mol_55,6N0D-Active_25th,TDP1,-5.8595691809003805,-2.1646567900650333,3.694912390835347,6.478202529172222,-4.012112985482707,1.8474561954176736,4.356544595808328,4.012112985482707,0.5412848231424072,-0.30347827879329436,0.27016123316188434,0.5736395119551787,48.500518171345384,-0.023999094129,1.877122805064,6.809948582
55,Mol_56,6N0D-Active_26th,TDP1,-6.553828377548322,-3.3566191179796805,3.197209259568641,5.279489786262668,-4.955223747764001,1.5986046297843206,7.679898435461526,4.955223747764001,0.6255455422613891,-0.43075615326892347,0.8379152796183487,1.2686714328872721,68.64764089501838,-0.029726846107,1.261872920333,6.664542099
